trial_id,trial_index,condition_label,condition_name,trial_duration_sec,dt_sec,aom_mean,aom_std,aom_max,aom_min,aom_baseline_mean,aom_response_mean,aom_delta_response_baseline,aom_peak_index,aom_peak_time_sec,aom_mean_abs_diff,pom_mean,pom_std,pom_max,pom_min,pom_baseline_mean,pom_response_mean,pom_delta_response_baseline,pom_peak_index,pom_peak_time_sec,pom_mean_abs_diff,avg_pupil_mean,avg_pupil_std,avg_pupil_max,avg_pupil_min,avg_pupil_baseline_mean,avg_pupil_response_mean,avg_pupil_delta_response_baseline,avg_pupil_peak_index,avg_pupil_peak_time_sec,avg_pupil_mean_abs_diff,avg_eye_mean,avg_eye_std,avg_eye_max,avg_eye_min,avg_eye_baseline_mean,avg_eye_response_mean,avg_eye_delta_response_baseline,avg_eye_peak_index,avg_eye_peak_time_sec,avg_eye_mean_abs_diff
T084,83,2,tilt_right,4.0,0.05,0.06587988867841003,0.07895663072654693,0.31076175598900396,0.0,0.016944462551934335,0.008805643889714554,-0.008138818662219782,65,3.25,0.0196266198499225,0.05027443173828934,0.11216917490892438,0.5043049287751007,0.0,0.0009350643579054575,0.0008166202049601862,-0.00011844415294527135,45,2.25,0.031497703868582055,0.12108889381460572,0.007487560056534368,0.13933411594283435,0.10361780278306129,0.11949555502436038,0.11925083647907267,-0.00024471854528770876,68,3.4000000000000004,0.0019047389284026506,0.006182440300620018,0.00780287291919067,0.048588318144824,0.00059231555453715,0.0024635804315159904,0.0016400711425763202,-0.0008235092889396702,51,2.5500000000000003,0.003748023719074122
T085,84,2,tilt_right,4.0,0.05,0.12336582182529163,0.24488142652511596,1.2780904917771372,0.0,0.015024955077495078,0.011185003240590042,-0.003839951836905036,52,2.6,0.055688362234086804,0.05228688474070807,0.1168596807599497,0.5229907741459362,0.0,0.0009572654916327337,0.0008363685348190795,-0.00012089695681365413,45,2.25,0.032764381703962106,0.12774731126221378,0.009932100183501661,0.15111406400284394,0.11102838221594935,0.13404889432151162,0.12310199980040597,-0.010946894521105657,67,3.35,0.0016429112642367576,0.00750082812817532,0.011101972380613173,0.0594344752305634,0.000453078648777,0.00421701725770184,0.0016996471152224116,-0.002517370142479428,74,3.7,0.006393076205556278
T086,85,0,no_tilt,4.0,0.05,0.02205287746171697,0.027303343979015075,0.1079923079593422,0.0,0.048072882572625306,0.02986219634594846,-0.018210686226676844,7,0.35000000000000003,0.01735924120192775,0.001586689258071424,0.0016689563826155554,0.009426712934091329,0.0,0.0008104515508813206,0.0008522825039541461,4.183095307282549e-05,67,3.35,0.0009658711579062816,0.12243210485967179,0.0065121313929538535,0.1384333318797755,0.11460600012018335,0.13584448054925172,0.12290450620459858,-0.012939974344653132,3,0.15000000000000002,0.0009081731597851294,0.0028372994516376628,0.004812643276347773,0.0444303585354224,0.0005611324363447584,0.00637067013150245,0.0023789483336629784,-0.003991721797839472,0,0.0,0.0017973705826532641
T087,86,2,tilt_right,4.0,0.05,0.06012916195331205,0.0724710176077555,0.28781840658392177,0.0,0.0023515889327140964,0.011806560970674014,0.009454972037959917,63,3.1500000000000004,0.021776686150022595,0.05276251165104874,0.11867511875018921,0.541011434275224,0.0,0.0009758522090325074,0.0008535281213900394,-0.00012232408764246798,45,2.25,0.033042826025868395,0.11557099446132098,0.008102375899922845,0.13240803058274564,0.09888040373152045,0.11533128283186178,0.11356891635640783,-0.0017623664754539553,79,3.95,0.0015214651835258057,0.006787760353827654,0.009324084379629814,0.0542874099658168,0.00056155579864065,0.0023098713505852546,0.002170506446014621,-0.00013936490457063357,67,3.35,0.00408111539608506
T088,87,2,tilt_right,4.0,0.05,0.18757957357642505,0.31852845241092076,1.8907249154848595,0.0,0.6707077525989675,0.10446590001859711,-0.5662418525803704,6,0.30000000000000004,0.1020253859172595,0.05215027788295762,0.11676468743744653,0.5240733279820863,0.0,0.0009555401086340344,0.0008401397024374616,-0.00011540040619657289,45,2.25,0.03260299204666004,0.11839607155461089,0.0065592374770559025,0.13296778629473543,0.10214550174755149,0.12330744841114676,0.11796087233623592,-0.005346576074910833,63,3.1500000000000004,0.0017336830217453158,0.006415505730780727,0.009559146698523497,0.060200066674417005,0.0006421819974614,0.0022777093743231902,0.0016683196033433667,-0.0006093897709798235,67,3.35,0.004094771202894441
T089,88,1,tilt_left,4.0,0.05,0.132035621105897,0.15393972307098058,0.6583938674686595,0.0,0.028559139394446792,0.01373126879402391,-0.014827870600422881,48,2.4000000000000004,0.03993535099525451,0.06581852611426017,0.1185323936799106,0.5119959826150159,0.0,0.000749515268389524,0.0008998646664478639,0.0001503493980583399,44,2.2,0.03825762217700726,0.11654146713963436,0.0063610202421790635,0.1288184333869134,0.10434300228951154,0.11767664310672914,0.11484320027559229,-0.0028334428311368454,75,3.75,0.001558165000841907,0.009678092341365584,0.01196596816714124,0.0578481369217298,0.00031868041050415,0.002737139637150965,0.0013676162045236533,-0.0013695234326273119,73,3.6500000000000004,0.005607788819548888
T090,89,0,no_tilt,4.0,0.05,0.015513521452343092,0.021902024261143047,0.1310544256812488,0.0,0.03370229708771101,0.02266633380261866,-0.011035963285092352,11,0.55,0.0073180268087681835,0.0015214432140503898,0.0015623591228103217,0.008827568207734492,0.0,0.0007857932526157462,0.0008288640427250817,4.3070790109335576e-05,67,3.35,0.0009075714900769627,0.12153071073961588,0.006072037896738636,0.1352045600298581,0.1096064355481074,0.12949319188087327,0.12503153408388215,-0.00446165779699112,10,0.5,0.0013677718138873645,0.004249739965123875,0.008195789379554638,0.07005869493331325,0.00035880105165064997,0.009048230587766019,0.005443186030419173,-0.0036050445573468457,12,0.6000000000000001,0.003321592101448438
T091,90,2,tilt_right,4.0,0.05,0.03821475303005295,0.04040965683000743,0.1509050566223809,0.0,0.010424848454666655,0.0045559369744390815,-0.005868911480227574,58,2.9000000000000004,0.016941828972161677,0.05071097929198605,0.11389190612097645,0.5158416086116729,0.0,0.0009478225887901065,0.00082863285561062,-0.00011918973317948643,45,2.25,0.03172941784267445,0.11151649955255905,0.005453596932927436,0.1261367095135287,0.09955376710187275,0.11429375925968652,0.10951702092131614,-0.004776738338370376,68,3.4000000000000004,0.001532392769412775,0.005728215877856326,0.00762359895251243,0.0334755672949716,0.0003716729230511,0.001969259708007255,0.0015736453981985948,-0.00039561430980866014,53,2.6500000000000004,0.003557997236385828
T092,91,1,tilt_left,4.0,0.05,0.19868449303276708,0.34015668696981644,1.4809915870538402,0.0,0.012522725828991716,0.007886667557819938,-0.004636058271171778,55,2.75,0.10670458511543339,0.06613029480135554,0.11770600581836842,0.49521203131130165,0.0,0.0007216937041103243,0.0008810926852344733,0.000159398981124149,44,2.2,0.03834204577191495,0.10960512304224439,0.006574157774113654,0.1275860810399255,0.0927923402688771,0.10632422267675282,0.10815907879870694,0.0018348561219541232,78,3.9000000000000004,0.0017744660435863805,0.009660838363366606,0.013996852137753717,0.06387644929846854,0.0006119808005862,0.0031599626696381597,0.00144675361503011,-0.0017132090546080497,63,3.1500000000000004,0.006922525677880769
T093,92,0,no_tilt,4.0,0.05,0.037605356626374854,0.13083047526930328,1.0733815311222976,0.0,0.22777350231750657,0.016491711999964465,-0.2112817903175421,1,0.05,0.030925888161877517,0.0014885134922624113,0.0015116110936502665,0.008537257193174145,0.0,0.0008001424769824251,0.0008087145545824185,8.572077599993365e-06,67,3.35,0.0008795343078330202,0.12296318493027711,0.005978110791504306,0.1346187334945132,0.11329844303486081,0.12294577061237529,0.1291721668886832,0.006226396276307902,20,1.0,0.0011178099583343515,0.004050819600765125,0.005437340885205174,0.0355111044342834,0.00037298917053200004,0.011090243492858764,0.004641839772551148,-0.006448403720307616,10,0.5,0.0023284480374326857
