trial_id,trial_index,condition_label,condition_name,pupil_valid_trial,eye_valid_trial,aom_valid_trial,pom_valid_trial,pupil_dilation_happened,pupil_baseline_min,pupil_response_max,pupil_dilation_threshold,pupil_dilation_time_sec,pupil_peak_time_sec,eye_movement_happened,eye_baseline_mean,eye_response_max,eye_movement_threshold,eye_movement_time_sec,eye_peak_time_sec,active_locomotion_happened,aom_baseline_mean,aom_response_max,active_locomotion_threshold,active_locomotion_time_sec,aom_peak_time_sec,passive_locomotion_happened,pom_baseline_mean,pom_response_max,passive_locomotion_threshold,passive_locomotion_time_sec,pom_peak_time_sec,active_freezing_happened,active_freezing_time_sec,aom_trough_time_sec,passive_freezing_happened,passive_freezing_time_sec,pom_trough_time_sec
T167,166,0,no_tilt,True,True,True,True,False,0.1038441502178684,0.1087804260635053,0.10903635772876183,,2.4000000000000004,True,0.0021407598253021538,0.0050182916028559,0.0032111397379532306,2.0,2.3000000000000003,True,0.005351673173884878,0.01051164469091328,0.008027509760827316,2.1,2.1,True,0.0007916500959250103,0.008712522396198297,0.0011874751438875155,2.0500000000000003,3.35,True,2.0,2.0,True,2.0,3.0500000000000003
T168,167,2,tilt_right,True,True,True,True,True,0.10207968696532545,0.14011401648081473,0.10718367131359173,2.0,3.4000000000000004,True,0.002451356038227746,0.06329787862174399,0.0036770340573416193,2.2,3.2,True,0.006801231256618104,0.43485871613811655,0.010201846884927156,2.0500000000000003,3.5,True,0.0008346831615963932,0.4935386588255553,0.0012520247423945898,2.0500000000000003,2.25,False,,2.0,True,2.0,2.0
T169,168,2,tilt_right,True,True,True,True,True,0.10802795259829284,0.1228728441817499,0.11342935022820749,3.0,3.45,True,0.0018761773336319187,0.03483678274959865,0.002814266000447878,2.2,3.75,True,0.037311062754573264,0.8434862171793758,0.05596659413185989,2.0500000000000003,3.9000000000000004,True,0.0008239105641744873,0.4788533168609645,0.0012358658462617309,2.0500000000000003,2.25,True,2.0,2.0,True,2.0,2.0
T170,169,2,tilt_right,True,True,True,True,True,0.11010049505458624,0.1242563445189738,0.11560551980731557,2.25,3.1,True,0.0030784338061952874,0.028404088078523147,0.004617650709292931,2.2,3.25,True,0.04152600435649066,0.14443026061129027,0.06228900653473599,2.1,2.2,True,0.0008312043386185679,0.4834404240797477,0.0012468065079278517,2.0500000000000003,2.25,True,2.0,2.0,True,2.0,2.0
T171,170,0,no_tilt,True,True,True,True,False,0.1083838827270678,0.1124089637485947,0.11380307686342118,,2.0,True,0.001607216114512449,0.00389924395362675,0.0024108241717686737,2.0,2.0,True,0.003770292727388971,0.007188515694035337,0.005655439091083457,3.2,3.35,True,0.0007767076180747159,0.008302396010789331,0.0011650614271120738,2.0500000000000003,3.35,True,2.0,2.9000000000000004,True,2.0,3.0500000000000003
T172,171,0,no_tilt,True,True,True,True,True,0.09172995613199145,0.09921322404809055,0.09631645393859102,3.8000000000000003,3.95,True,0.0017058407102715305,0.0046754861764102,0.0025587610654072956,2.2,3.5,True,0.0025549197258689185,0.008257991477408263,0.003832379588803378,2.1,3.85,True,0.0007758054829419183,0.008289540376006307,0.0011637082244128774,2.0500000000000003,3.35,True,2.0,2.35,True,2.0,3.0500000000000003
T173,172,0,no_tilt,True,True,True,True,True,0.0923032032455722,0.09899940219321704,0.09691836340785082,2.1,2.7,True,0.0020785459196139633,0.0039250566538928,0.003117818879420945,2.0,2.0,True,0.003146171240563431,0.018161318734597184,0.004719256860845147,2.0,2.0500000000000003,True,0.0007754621572863185,0.008286652409219589,0.0011631932359294776,2.0500000000000003,3.35,True,2.15,3.1,True,2.0,3.0500000000000003
T174,173,1,tilt_left,True,True,True,True,True,0.08845448696038705,0.12027971960728359,0.0928772113084064,2.3000000000000003,3.75,True,0.0017375874476865227,0.048615818770970654,0.002606381171529784,2.0,3.5,True,0.0033251502541125156,1.2438400362458009,0.004987725381168774,2.0,2.85,True,0.0007929661205229276,0.4634129852263071,0.0011894491807843913,2.0,3.2,False,,2.0,False,,3.7
T175,174,1,tilt_left,True,True,True,True,True,0.10717737538532915,0.12847447661836414,0.11253624415459561,3.6,3.85,True,0.0028819670187139497,0.054278962218159296,0.0043229505280709245,2.2,2.3000000000000003,True,0.07567254769182567,1.9636630218034865,0.1135088215377385,2.0,2.9000000000000004,True,0.0008208992851133539,0.4831771962872737,0.0012313489276700308,2.0,2.2,False,,3.1500000000000004,False,,3.7
T176,175,2,tilt_right,True,True,True,True,True,0.0928364179299046,0.1306629832661112,0.09747823882639983,2.0,3.4000000000000004,True,0.011773333154176826,0.02917477583146185,0.01765999973126524,2.25,2.25,True,0.05118478379528235,0.1112227043513972,0.07677717569292353,2.2,3.1500000000000004,True,0.0008417269449579396,0.48759076364509046,0.0012625904174369093,2.0500000000000003,2.25,True,2.0,2.0,True,2.0,2.0
